PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,LUAS_WILAY,KEPADATAN,Latitude,Longitude
DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,74851.0,1.59,47005.0,-6.113966281441166,106.91056072023734
DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,49062.0,3.06,16033.0,-6.129036926218946,106.87114953103786
DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,37423.0,2.35,15943.0,-6.13073519349842,106.88601818357321
DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,64447.0,1.75,36888.0,-6.119459156800823,106.88895285357354
DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,56502.0,1.08,52152.0,-6.121821805316881,106.87776103489593
DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,35891.0,2.62,13682.0,-6.105783603783161,106.89899768903145
DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,49037.0,1.88,26085.0,-6.135415637697737,106.91022040902091
DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,53360.0,1.84,29064.0,-6.131531072181469,106.89871010517635
DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,55102.0,7.34,7505.0,-6.111410025588951,106.94476470886036
DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,48348.0,2.3,20986.0,-6.15486584176167,106.77579305065716
DKI JAKARTA,JAKARTA UTARA,CILINCING,KALIBARU,86964.0,2.53,34416.0,-6.102975881324941,106.92036602263329
DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,50167.0,10.61,4726.0,-6.144654957387994,106.95571590377816
DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,86583.0,3.3,26223.0,-6.125921148624025,106.92404910848352
DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,45083.0,2.91,15499.0,-6.140584096894682,106.8474617475673
DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,93530.0,1.55,60208.0,-6.134890045049063,106.83677206330144
DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,29886.0,7.92,3774.0,-6.1243904791614305,106.83372330795963
DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,40012.0,3.19,12542.0,-6.168385228560511,106.90354322164976
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,80638.0,3.88,20786.0,-6.138078505132323,106.72425978538804
DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,9198.0,0.55,16637.0,-6.144785155976215,106.8182325355969
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,167523.0,6.14,27282.0,-6.142163471987905,106.75186754836227
DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,100081.0,3.75,26691.0,-6.141251116808715,106.73463946447993
DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,20603.0,1.32,15611.0,-6.172898900358837,106.7831364620612
DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,36680.0,1.6,22916.0,-6.159059055813012,106.78559823025158
DKI JAKARTA,JAKARTA BARAT,TAMBORA,KRENDANG,25192.0,0.33,75883.0,-6.150275039173816,106.80393226871344
DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,47398.0,1.54,30871.0,-6.2091480910875125,106.77758893640443
DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,46386.0,1.36,34026.0,-6.22072279270633,106.77193078962947
DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,28843.0,1.36,21185.0,-6.209655294024868,106.76850132024552
DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,72834.0,3.7,19679.0,-6.175970120067289,106.7737921027067
